Judul,Status
"Keliru, Poster Berisi Informasi Hilangnya Dua Kader PMII Tasikmalaya Usai Unjuk Rasa",Salah [-]
"Keliru, Pernyataan Presiden Rusia Vladimir Putin Mengancam FIFA Agar Tidak Mencampuri Sepakbola dengan Urusan Politik",Salah [-]
 “Jogja hari ini stay safe semuanya!”,Salah [False Context]
: Getah Daun Kemangi Dapat Obati Gatal Pada Kulit,Salah [Misleading Content]
: Mengonsumsi Buah Zuriat Dapat Meningkatkan Peluang Kehamilan,Salah [Misleading Content]
 Hari ini kantor DPRD Palembang di gempur perlawanan mahasiswa,Salah [False Context]
" Guru cantik perkosa siswanya berkali-kali. Siswa masih polos, orang tua melapor tidak terima.",Salah [Misleading Content]
 50 TON MINYAK GORENG DI KEDIAMAN IBAS,Salah [Misleading Content]
 Artikel Detik berjudul “Cerita Ajid Terobos SD Ambruk di Cianjur demi Selamatkan Foto Lesti”,Salah [Satire]
"Sesat, Ayla Kirstine Dibesarkan Anjing Selama 16 Tahun Sehingga Berjalan dan Melompat Seperti Binatang",Salah [-]
 Foto Aktris Korea Selatan Jung Ho-yeon “This has to be the best photo to ever exist”,Salah [Manipulated Content]
 Foto Fadli Zon “Saya minta di tembak mati saja”,Salah [Satire]
" Video “Vladimir Putin Marah Besar, Kapal Tanker Pertamina Yang Angkut Minyak Rusia, Dicegat Di Denmark”",Salah [Manipulated Content]
: Imbauan Bank Indonesia Terkait Modus Penguras Saldo Rekening di ATM,Salah [Fabricated Content]
 Kuota 50 GB Gratis dalam Perayaan Ulang Tahun WhatsApp,Salah [Fabricated Content]
 Gambar Tangkapan Layar Artikel Detik.com “Jokowi: saya tidak berminat tiga periode kecuali dipaksa rakyat”,Salah [Manipulated Content]
 Gambar Tangkapan Layar Artikel Viva “JUTAAN Orang Tanda Tangani Petisi Bubarkan Banser”,Salah [Manipulated Content]
 Video “kapal Pertamina Indonesia dijarah oleh Denmark”,Salah [Misleading Content]
 Video “Mahasiswa masuk gedung DPR RI …”,Salah [False Context]
: Informasi Peringkat Sayuran Anti Kanker Oleh Institut Pencegahan Kanker,Salah [False Context]
 “surat Al-Maidah ayat 51 dst telah diganti terjemahannya…..”,Salah [Misleading Content]
 Presiden Ukraina Menggunakan Kaos Dengan Logo Nazi Pada Kongres AS,Salah [Misleading Content]
 Video Tempat Jatuhnya Pesawat Boeing 737-800 Milik China Eastern Airlines,Salah [False Context]
" Live di Facebook, Baim Wong Bagikan Uang dan Hp Bagi yang Mampu Menebak Angka",Salah [Misleading Content]
 Akun Whatsapp Anggota DPD RI Fahira Idris,Salah [Fabricated Content]
 Hadiah IPhone 13 Pro Max dari PT Pos Indonesia,Salah [Fabricated Content]
: Permohonan Aktor Steve Bersama Sang Anak Sebelum Dirinya Dieksekusi Mati,Salah [False Connection]
 Video “Wow.. Kakek ini berusia sampai 399thn”,Salah [False Context]
"Keliru, Kapal Pertamina Indonesia yang Membawa Minyak dari Rusia Dijarah Denmark",Salah [-]
"Keliru, Dua Foto yang Diklaim Natasha Perakov, Pilot Pesawat Tempur Wanita Pertama Ukraina yang Tewas di Kiev",Salah [-]
 Menag Yaqut Sebut Haji Dibatalkan dan Dananya Dipakai Bangun IKN,Salah [Manipulated Content]
"Keliru, Yayasan Miracle Hope Membantu Pengobatan Kanker di RS Gatot Subroto dengan Metode Cell Cure",Salah [-]
 Kemenkeu Lelang Barang Pemberian Pembalap MotoGP Pada Penonton di Mandalika,Salah [Misleading Content]
 Foto Kotak Saweran untuk Ibu Kota Negara Baru,Salah [Satire]
: Seekor Ular Raksasa Melilit Sebuah Mobil Van,Salah [Misleading Content]
 “Selamat buat Dr. Terawan yang sebentar lg akan Resmi jd Milik Jerman dan bertugas disana”,Salah [Misleading Content]
 Perusahaan Farmasi Moderna yang Menciptakan Virus Corona,Salah [Misleading Content]
 CEO Disney Ditangkap Karena Kasus Perdagangan Manusia,Salah [False Context]
 Pawang Hujan Menggunakan Gelombang Otak Teta untuk Menghentikan Hujan,Salah [Misleading Content]
 Foto “Monumen Bani Kodok Untuk IKN”,Salah [False Context]
 Surat Edaran Penggalangan Dana Donasi Kepada Yayasan/Lembaga dari Dinas Sosial Pemerintah Kabupaten Pandeglang,Salah [Impostor Content]
 Kode Rahasia Untuk Menghemat Penggunaan Listrik Selama 1 Bulan,Salah [Satire]
" Foto “Pesta Pernikahan Malah Berubah Jadi Duka, 15 Orang Tewas termasuk kedua pengantin Di Tempat meninggal”",Salah [Misleading Content]
" Video “22 Maret 2022, Akhirnya Juragan 99 Pemilik MS Glow Diciduk Bareskrim, Tangis Sang Istri Pecah”",Salah [Fabricated Content]
 SMS INDONESIA GIVEAWAY TRANS7,Salah [Fabricated Content]
 Foto Ibas Yudhoyono Membaca Buku “Panduan Jualan Minyak Goreng”,Salah [Satire]
 Akun Instagram Karir PT Telkom Indonesia (@official.telkomindonesia),Salah [Impostor Content]
 Video “Kecelakaan pesawat Mu5735” dengan Narasi Keliru,Salah [False Context]
 Video “Hentikan Putin. #russia #ukraina #sedih”,Salah [False Context]
: Barang-barang Pemberian Pembalap MotoGp Kepada Para Penonton di Mandalika Dilelang Negara,Salah [False Context]
"Sebagian Benar, Klaim Tips Mengetahui Minyak Goreng Tak Layak Konsumsi",Salah [-]
"Menyesatkan, Foto dengan Klaim Terawan akan Bertugas di Jerman",Salah [-]
 Foto “STEVE AHOKI”,Salah [Satire]
 Foto Petani Ukraina Menangkap Jet Militer Rusia,Salah [False Context]
 “kasino di Saudi”,Salah [False Context]
 Video “#ukraina #menembak #hari ini”,Salah [False Context]
 Video “Kecelakaan pesawat Mu5735” dengan Narasi Keliru,Salah [False Context]
 Seorang Petani Ukraina Mencuri Roket Milik Rusia,Salah [Manipulated Content]
 Vaksin Pfizer-BioNTech Dapat Menyebabkan Radang Otak,Salah [Misleading Content]
 Foto Kakek Tua Menggendong Kucing Menjadi Korban Serangan Rusia di Ukraina,Salah [False Context]
" 2.500 Ton Minyak Goreng Tumpah Ke Laut di wilayah Kariangau, Kecamatan Balikpapan Barat, Kalimantan Timur",Salah [False Context]
": Rudal Rusia Bisa Memilih Target, Gedung Kementerian Pertahanan Ukraina Diratakan Dengan Tiga rudal",Salah [Misleading Content]
 Email dari Direktorat Jenderal Pajak (DJP) Berisi Tagihan Kurang Bayar Pajak,Salah [Impostor Content]
"Keliru, Video yang Diklaim Ukraina Ikut Memerangi Bangsa Chechnya Tahun 1999 dan Membunuh Kaum Muslimin",Salah [-]
"Keliru, Foto Seekor Ular Raksasa Melilit Sebuah Mobil Van",Salah [-]
 FADLI ZON AKHIRNYA RESMI DIPECAT DARI KURSI DPR,Salah [False Connection]
 GUS NUR DIJEMPUT AJAL,Salah [False Connection]
 Akun WhatsApp Wali Kota Surabaya dengan Nomor “082137781134” Memberikan Donasi Kepada Yayasan dan Pondok Pesantren,Salah [Impostor Content]
 Akun WhatsApp Wakil Bupati Klaten dengan Nomor “082140850608” Memberikan Donasi Kepada Tempat Ibadah dan Yayasan,Salah [Impostor Content]
"Keliru, Sniper Kanada Bernama Wali Tewas Hanya 20 Menit di Tangan Pasukan Khusus Rusia",Salah [-]
 Akun Telegram Ternak Uang,Salah [Impostor Content]
 Foto Bendera Ukraina dan Nazi “This is Ukraine White Supremacy.”,Salah [Misleading Content]
" Foto Tank Milik Ukraina selama Invasi di Baghdad, Irak tahun 2004",Salah [Manipulated Content]
"Keliru, Equinox Menyebabkan Cuaca Panas Ekstrim dan Sun Stroke",Salah [-]
"Keliru, Rudal Rusia Merobohkan Gedung Kementerian Pertahanan Ukraina",Salah [-]
 Foto Presiden Jokowi Memberikan Minyak Goreng kepada Pebalap MotoGP Miguel Oliveira,Salah [Satire]
 Telur Palsu Pembungkusnya dari Kertas dan terdapat Silicon di Kuning Telurnya,Salah [Misleading Content]
 Cara Mengecek Minyak Goreng Limbah,Salah [Misleading Content]
" Foto “Kebakaran merenggut banyak korban jiwa terjadi di pesantren Alquran dekat Ibu Kota Monrovia, Liberia”",Salah [Misleading Content]
 Tiga Orang China Yang Terpapar Varian Baru dari India Tidak Dapat Dideteksi Dengan Alat Test Covid-19 Biasa,Salah [Misleading Content]
 ERIK TOH!R DICOPOT,Salah [False Connection]
 Foto Kucing Bernama Mikael “Panther of Kharkiv” yang Dilatih Tentara Ukraina,Salah [Satire]
 Judul Artikel merdeka.com “Ma’ruf amin : Ekonomi meroket jika Presiden Jokowi 3 periode”,Salah [Manipulated Content]
 Video Awan Pasir di Atas Eropa Saat ini,Salah [False Context]
" Tangkapan Layar Berita detiknews “Tersesat 3 Hari di Perbukitan, saat ditemukan Tim SAR nenek ini teriak “my trip my adventure!”",Salah [Satire]
 Tautan Instagift untuk Mengklaim Hadiah,Salah [Impostor Content]
 Foto “Serangan Udara Terbanyak yang Pernah Diluncurkan NATO di Afrika adalah di Libya Tahun 2011”,Salah [False Context]
 Pembalap Marc Marquez Sedang Di Bulukumba Untuk Di Urut,Salah [Satire]
 Gula Jawa Mengandung Formalin,Salah [Misleading Content]
 Akun WhatsApp Wakil Walikota Cilegon Sanuji Pentamerta “+6282143125957”,Salah [Impostor Content]
 Akun Whatsapp RS PKU Muhammadiyah Wonosobo “+6281217025680”,Salah [Impostor Content]
 Akun Whatsapp Wakil Wali Kota Sukabumi Andri Setiawan Hamami “+628128183452”,Salah [Impostor Content]
 Gadis Ular Menggemparkan Dunia,Salah [Fabricated Content]
 Video Menunjukkan ‘Wanita Plastik Pertama’ Dibuat Oleh Cina,Salah [False Context]
 Tentara Ukraina Membunuh Pria Chechnya,Salah [False Context]
 Link Giveaway Smartphone Ninja Xpress,Salah [Impostor Content]
 Situs Lelang Milik DJKN “lelanginternal.com”,Salah [Impostor Content]
 Siti Nurhaliza Meninggal Dunia,Salah [Misleading Content]
 Harimau Berkeliaran Di Perkebunan Sawit Di Riau,Salah [False Context]
 Pesepak Bola Qatar Alami Serangan Jantung Setelah Divaksin Covid-19,Salah [Misleading Content]
 Foto Harimau Berkeliaran di Perawang Riau,Salah [Manipulated Content]
"Tidak Terbukti, Covid-19 Berasal dari Laboratorium Ukraina",Salah [-]
 Pemeran Mr. Bean Masuk Islam,Salah [Misleading Content]
 Video “Boing 737 China Airlines Kecelakaan 21 March 2022”,Salah [False Context]
 Informasi Pasukan Ukraina Menyandera Dua WNI Tidak Benar,Salah [Fabricated Content]
 Pembalap MotoGP Marc Marquez Berjoget Dangdut di Mandalika,Salah [Misleading Content]
 Baim Wong Meninggal Dunia,Salah [Misleading Content]
 Video Mayat Propaganda NATO di Ukraina yang Sedang Merokok,Salah [Misleading Content]
 Sule Meninggal Dunia,Salah [Misleading Content]
 Video Rusia Luncurkan Pertempuran kepada Ukraina,Salah [Manipulated Content]
 Informasi Pengangkatan PPPK Tanpa Tes,Salah [Impostor Content]
 Kantor Presiden Bank Indonesia di Kesultanan Buton,Salah [Misleading Content]
: Marquez Ditolak Rumah Sakit Karena Tak Punya BPJS dan Peduli Lindungi Belum Aktif,Salah [Satire]
 Foto Istri Wakil Presiden Ukraina Siap Perang Bela Negara,Salah [False Context]
 Video UFO di Chernobyl bulan Januari 2022,Salah [False Context]
 Foto Jejak Kaki Janin di Perut Ibunya,Salah [Manipulated Content]
 Dokumen Pelunasan Hutang dan Dana Hibah dari Kesultanan Buton Kepada Perancis,Salah [Fabricated Content]
 Video “Marquez goyang dangdut”,Salah [Manipulated Content]
 Gambar Tangkapan Layar Artikel Tempo “Saking Bencinya Menag & Islam Nusantara Terhadapa Arab Sampai Logo Halal Yg tadinya Pakai Huruf Arab pun di ganti Dgn Gambar Wayang”,Salah [Manipulated Content]
" Gambar Tangkapan Layar Artikel SINDONEWS.com “Menag Yaqut: Saya Pastikan Pembangunan KIBLAT Yang Baru Untuk Umat Islam Nusantara, Akan Segera Di Bangun Dan Kami Sudah Bekerjasama dgn pemerintahan China, Dan Lokasi Pembangunan nya Bertempat Di China”",Salah [Manipulated Content]
"Menyesatkan, Paten Sistem Cryptocurrency dari Tubuh Manusia Milik Microsoft Terkait dengan Simbol Iblis 666",Salah [-]
 Gambar ” Jokowi menghadang tank sendirian di kerusuhan ukraina”,Salah [Satire]
 Artis Senior ‘NIA DANIATI’ Meninggal Dunia Akibat Kecelakaan Mobil,Salah [False Context]
" Gambar Tangkapan Layar Artikel Liputan6 “Tertangkap Warga, Maling Motor Ini Mengaku Seorang CEBONG Pendukung Jokowi”",Salah [Manipulated Content]
 Surat Edaran Pengangkatan Tenaga Honorer Menjadi CPNS Tanpa Tes Oleh Kementerian Pendidikan Kebudayaan Direktorat Jenderal Guru dan Tenaga Kependidikan,Salah [Impostor Content]
" Menara Eiffel di Paris, Prancis di Bom",Salah [False Context]
 Video Situasi Terkini Perang Rusia Vs Ukraina,Salah [False Context]
 Judul Artikel detikNews “XI Jinping : China Siap Membiayai Seluruh Kebutuhan Pembangunan Kiblat Baru Bagi Umat Islam Nusantara”,Salah [Manipulated Content]
 “Marquez goyang dangdut di acara pembukaan MotoGP Mandalika”,Salah [False Context]
 Tangkapan Layar Artikel berjudul “Bocah Perempuan 5Tahun Di Cabuli 7 Orang Yg Mengaku Dirinya CEBONG Di Grup Pendukung Anies Baswedan”,Salah [Manipulated Content]
 Link untuk Mendaftar PKH,Salah [Fabricated Content]
 Video Pesawat Menyemprotkan Zat Yang Dapat Membuat Orang Sakit Tenggorokan dan Demam,Salah [Misleading Content]
 Foto Tentara Ukraina Menangis,Salah [False Context]
 Video Kereta Mengangkut Kendaraan Militer NATO Menuju Ukraina,Salah [False Context]
 Kamala Harris Menertawakan Pertanyaan Tentang Pengungsi Ukraina,Salah [Misleading Content]
 Pengobatan Tumor Ganas/ Kanker CELL CURE RS Gatot Subroto Jakarta,Salah [Misleading Content]
 Video “Cara Ngebajak Wa Doi”,Salah [Misleading Content]
 Alfamart Bagikan 100 Botol Minyak Goreng Gratis pada 18 Maret 2022,Salah [Fabricated Content]
 Video Cara Meretas Akun WhatsApp,Salah [Fabricated Content]
"Menyesatkan, Rusia Membantu Indonesia saat akan Diserang Australia pada 2015",Salah [-]
 Surat Izin Usaha Perdagangan dengan Tanda Tangan Walikota Semarang,Salah [Impostor Content]
 “Jadi Covid adalah tidak natural tapi rekayasa si laboratorium Amerika Serikat di Ukraina untuk senjata biologi”,Salah [Misleading Content]
 Suara Auman Raksasa di Aceh Pukul 5 Pagi,Salah [Fabricated Content]
: Bentuk Logo Halal Buatan Kemenag Terinspirasi Dari Penutup Kepala Uskup,Salah [Satire]
 Arab Saudi Tidak Mewajibkan Masker untuk Jamaah Masjidil Haram dan Masjid Nabawi serta Akan Menyediakan Asuransi Kesehatan,Salah [False Context]
"Keliru, Video Presiden Putin Mendadak Memeluk Agama Islam",Salah [-]
 Foto Rudal Rusia Nyasar ke Indonesia,Salah [Misleading Content]
 Minum Air Rebusan Rumput Paragis Bisa Sembuhkan Kista Ovarium hingga Epilepsi,Salah [Fabricated Content]
 Polisi Uganda Menyerang Reporter Karena Memberikan Pertanyaan yang Tidak Relevan,Salah [False Context]
 “pendamping untuk Sertifikasi Halal dalam suatu UMKM itu syaratnya harus GP ANSHOR”,Salah [Misleading Content]
 Kepala Satuan Polisi Pamong Praja Kabupaten Lebak Meminta Uang Rp15 Juta Melalui WhatsApp Dengan Nomor 081237862386,Salah [Fabricated Content]
 Video “Gamblang! Putin Jelaskan secara Logis Nubuat Nabi Muhammad”,Salah [False Context]
 Kain Sarung Atlas Edisi Atlas Idaman Harmoni Bermotif Anjing,Salah [Misleading Content]
 Pernyataan Ekstrim Menteri Kesehatan Letjen TNI dr. Terawan Agus Putranto Sp. Rad,Salah [Impostor Content]
"Keliru, Anak-anak Diekspor ke Thailand untuk Diambil Organnya",Salah [-]
 Ukraina Menjual Tank Bekas Rusia di Situs Ebay,Salah [Satire]
" “Anak-anak disuntik dgn zat bius dan akan diekspor ke Thailand, mereka akan dibunuh untuk diambil organnya”",Salah [Misleading Content]
 Video Demonstrasi Warga Moskow Menolak Invasi Rusia ke Ukraina,Salah [False Context]
 Akun Telegram PT Pegadaian (persero),Salah [Impostor Content]
 St. Louis Arch Menyalakan Lampu Biru dan Kuning Sebagai Bentuk Dukungan kepada Ukraina,Salah [Manipulated Content]
"Tidak Terbukti, Laboratorium Senjata Biologi di Ukraina yang Didanai Amerika Serikat",Salah [-]
: Pria Asal Solo Meninggal Dunia Akibat Memakan Kangkung Berisi Lintah,Salah [Misleading Content]
 Vladimir Putin Ancam FIFA karena Rusia Dilarang Tampil di Piala Dunia,Salah [Fabricated Content]
 Informasi Surat Panggilan Seleksi Calon Karyawan BNI,Salah [Fabricated Content]
" “Minyak ASRI seakan akan Islami, padahal minyak goreng produk LEONG HUP ini terbuat dari minyak babi”",Salah [Misleading Content]
 Selamat Jalan Untuk Selamanya Rina Nose,Salah [Misleading Content]
 Rafi Ahmad Dikabarkan Meninggal Usai Kecelakaan Dini Hari saat Pulang Syuting,Salah [False Context]
" Video “Tolak Resolusi P.BB, Ukra1na Ancm Tarik Kemerdekaan Indonesia”",Salah [False Context]
" Video “Jangan membiasakan anak Anda bermain HP, sangat berbahaya bisa terinfeksi radiasi HP dan bisa membutakan”",Salah [Misleading Content]
" Masjid Meledak di kota Narayanganj, Bangladesh Memakan korban 50 Jamaah",Salah [False Context]
 Foto Pilot Tempur Perempuan Pertama Ukraina yang Tewas saat Invasi Rusia,Salah [False Context]
 Cover Majalah “Time” Bergambar Vladimir Putin dan Kumis Hitler,Salah [Manipulated Content]
" Akun Twitter Flip, @Flip_Officiall",Salah [Impostor Content]
 Seorang Nenek yang Memegang Kucing Mengacungkan Jari Tengah kepada Tentara Russia,Salah [False Context]
 Akun Karir PT Jasa Raharja,Salah [Impostor Content]
: Menteri Pekerjaan Umum Mongolia Membakar Diri,Salah [False Context]
: Banjir Air Mata Tentara Ukraina Peluk Pasangan Sebelum Berangkat Perang,Salah [False Context]
"Keliru, Video Rusia Memulai Pertempuran dengan Ukraina",Salah [-]
 Akun Whatsapp Mengatasnamakan BRI Guna Melakukan Perubahan Tarif Transfer,Salah [Impostor Content]
"Sebagian Benar, Video yang Diklaim perang Rusia Ukraina",Salah [-]
 Membedong Bayi Dapat Membuat Tulang Belakang Bayi Semakin Kuat Dan Rangka Tubuh Sempurna,Salah [Misleading Content]
" Video “KEMENTERIAN KESEHATAN UKRAINA: 57 MATI, 169 TERLUKA DI SELURUH UKRAINA KARENA SERANGAN RUSIA”",Salah [Manipulated Content]
 COVID-19 Varian Omicron Adalah Senjata Biologis Buatan,Salah [Fabricated Content]
 Video Bocah Suku Baduy Kebal Ditusuk Jarum Suntik,Salah [Misleading Content]
 Indro Warkop Meninggal Dunia,Salah [False Connection]
"Keliru, Klaim Laporan Palsu Televisi Ukraina soal Kematian akibat Invasi Rusia",Salah [-]
 Akun Telegram FBS Investasi Harian,Salah [Impostor Content]
 Akun WhatsApp Bupati Kudus Hartopo “081334073087”,Salah [Impostor Content]
 Akun Whatsapp Kepala Dishub Buleleng Gede Gunawan “085834466071”,Salah [Impostor Content]
 Akun Whatsapp Wakil Bupati Bogor Iwan Setiawan “089570498400”,Salah [Impostor Content]
 Surat Revisi Hasil Peringkat & Penambahan Peserta Lolos SKD & Berhak Mengikuti SKB Dalam Ujian Seleksi CPNS Kemenkumham TA 2019,Salah [Impostor Content]
 Akun WhatsApp Mengatasnamakan Anggota DPD RI Fahira Idris “0818110531”,Salah [Impostor Content]
 Foto Anak Kecil Di Tengah Puing-Puing Bangunan Dalam Invasi Rusia ke Ukraina,Salah [False Context]
 Akun WhatsApp Bupati Bojonegoro Anna Mu’awanah “+6281334073094”,Salah [Impostor Content]
 Miss Ukraina Angkat Senjata untuk Ikut Berperang Melawan Rusia,Salah [Misleading Content]
 Akun WhatsApp “0856-95632649” Milik Kepala Bappeda Lambar Tawarkan Kredit Kendaraan,Salah [Fabricated Content]
 Email dari Amazon Berisi Pengumuman Pemberian Kartu Hadiah Senilai 500 Dolar,Salah [Impostor Content]
 Video “Jet tempur Siluman NATO versus Rudal Rusia”,Salah [Misleading Content]
 Video “Lagi macet Di Rampok pakai pistol/senjata api di pasar ikan Penjaringan Jakarta Utara”,Salah [False Context]
 Mulai Awal Maret Kominfo Akan Unregistrasi Kartu Paket Jika Tidak Ada Aktivitas Internet 1×24 Jam,Salah [Misleading Content]
 Presiden Putin Peringati Jokowi Agar Tidak Ikut Campur Masalah Rusia dengan Ukraina,Salah [Misleading Content]
 Video “detik detik babi ngepet berubah jadi manusia tertangkap warga”,Salah [Misleading Content]
"Menyesatkan, FDA sembunyikan dokumen vaksin Covid-19 Pfizer hingga 75 tahun",Salah [-]
"Keliru, Surat Edaran BNPB Cabut Status Pandemi Covid-19",Salah [-]
 Tepat Hari Ini 7 Maret 2022 Ayu Ting Ting Meninggal Dunia Setelah Mengalami Kecelakaan Maut,Salah [Misleading Content]
 Akun Lesti Kejora Bagi Bagi Giveaway,Salah [Impostor Content]
" “Selasa Pagi ,Innalillahi Wainna Ilaihi Raji’un, Tri Suaka Dan Rekan Nya Meninggal Akibat Kecelakaan”",Salah [Misleading Content]
 Alfamart Bagikan Hadiah 100 Kemasan Minyak Goreng Rayakan Ulang Tahun ke-22,Salah [Fabricated Content]
 Kulit Bayi Baru Lahir Melepuh karena Sang Ibu Divaksin COVID-19,Salah [Fabricated Content]
 Jokowi Melarang Umat Islam Berkerumun di Masjid Apalagi Saat Idul Fitri,Salah [False Context]
 Giveaway Ayu Ting Ting 500 Ribu dan Handphone Untuk 400 Orang,Salah [Impostor Content]
: Kulit Bayi Baru Lahir Melepuh Karena Ibu Vaksin Covid-19 Saat Hamil,Salah [Misleading Content]
" “Subhanallah! Tepat Jumat Semalam ,Ternyata Aktor Laga Yang Terkenal JACKIE CHAN. Sudah Resmi Memeluk Agama ISLAM”
",Salah [Misleading Content]
 Video “Jokowi bebaskan H R S dan langsung dibawa ke istana untuk dilantik jadi Menag gantikan Yaqut”,Salah [Manipulated Content]
 Video “#worldwar3 #tni #indonesia #russia #ruski #ukr #ukraine”,Salah [False Context]
 Foto Tangkapan Layar Akun Twitter @BPJSKesehatanRI Yang Mengatakan Ukraina Wajib Gabung BPJS Kesehatan Apabila Ingin Dibantu Indonesia,Salah [Satire]
 Ketika Dikejar Buaya Kita Harus Berlari Zigzag,Salah [Misleading Content]
" Foto Tangkapan Layar Berita Fimela “6 Foto Chaeyoung TWICE ketika Pamer Tato, Begini Tanggapan Lesti Billar”",Salah [Manipulated Content]
: Pidato Vladimir Putin Terkait Kelangkaan Minyak Goreng di Indonesia,Salah [Satire]
 Lowongan Dokter Pribadi Full Timer untuk Kepala BNPB,Salah [Fabricated Content]
 Video “Detik Detik Presiden Jokowi Tiba Kunjungi Kelahiran Baby Ameena”,Salah [Manipulated Content]
"Keliru, Video Dinkes Banten Kesulitan Vaksinasi Covid-19 Terhadap Anak Baduy Luar Karena Dibekali Ilmu Kebal",Salah [-]
 Giveaway RANS Entertainment 5 juta untuk 500 orang,Salah [Impostor Content]
 “Video amatir perang Rusia vs Ukraina”,Salah [False Context]
 Protes di Depan Gedung Putih Sebagai Bentuk Dukungan kepada Ukraina,Salah [False Context]
 Foto Serangan Udara yang Menunjukkan Serangan Invasi Rusia di Ukraina 24 Februari Lalu,Salah [False Context]
 “Ancaman Balik Vladimir Putin Untuk FIFA”,Salah [Misleading Content]
 Bimoli Bagikan Uang Rp 2 Juta dalam Rangka Ulang Tahun ke-50,Salah [Fabricated Content]
 Video Vladimir Putin Berbicara soal Kelangkaan Minyak Goreng di Indonesia,Salah [Manipulated Content]
 Foto Kecelakaan Truk Pengangkut Rudal yang Dikirim Indonesia untuk Rusia,Salah [Satire]
 Video “Batu Malin Kundang Efek Anak Durhaka”,Salah [Misleading Content]
 Link untuk Mengecek Undian BRI,Salah [Fabricated Content]
" Foto “Masjid Meledak Saat Waktu Sholat Jumat, Sebanyak 50 Jamaah Meninggal Dunia”",Salah [False Context]
 Artikel Polisi Babak Belur Dihajar Masa,Salah [False Context]
 Puluhan Umat Kristiani di Ukraina Berdoa di Tengah Jalan Bersalju di Tengah Konflik Ukraina – Rusia Tahun Ini,Salah [False Context]
 Video Pidato Vladimir Putin Menuntut Menteri Agama Yaqut Cholil Qoumas untuk Meminta Maaf kepada Umat Muslim Indonesia,Salah [Satire]
 Video Pertempuran Pesawat Ukraina dan Pesawat Rusia,Salah [Misleading Content]
 Perdana Menteri India mengatakan Islam adalah Racun Kemudian Meninggal,Salah [Misleading Content]
" Video “Warga Minang Tolak dan Kembalikan Bantuan Menag Yaqut Rp 2,35 M untuk Gempa Pasaman Barat”",Salah [Misleading Content]
 Covid 19 Meningkat hanya Saat Ibadah Umat Islam,Salah [False Context]
 Video Pesawat Rusia terbang di Ukraina,Salah [False Context]
 Pemerintah Indonesia Mewajibkan Pria Dewasa Berpoligami untuk Mengurangi Janda,Salah [Manipulated Content]
: Yaqut Berpura-pura Jadi Mualaf Agar Menjadi Mentri Melalui NU,Salah [Misleading Content]
: Dele Alli Resmi Bergabung Ke Persib,Salah [Manipulated Content]
 Bantuan Sosial Rp600.000 Bagi Pemilik E-KTP Yang Belum Mendapatkan Bantuan #dirumahaja,Salah [Fabricated Content]
 Video “Junjungan banser melarang adzan”,Salah [Misleading Content]
 Surat Pemberitahuan KPK tentang Pemblokiran Rekening,Salah [Impostor Content]
 Video “Gemparkan Dunia! Akibat Peran Indonesia Akhirnya Rusia Dan Ukraina Damai”,Salah [Misleading Content]
 Video “Indonesia mengirim bantuan Rudal Ballistrik ke Rusia”,Salah [Satire]
 “Covid-19 dinyatakan dicabut dan dinyatakan tidak berlaku dengan surat edaran satgas SE Satgas No 9/2022”,Salah [Misleading Content]
 Perayaan HUT ke-50 Bimoli!,Salah [Fabricated Content]
 Serangan Bom Molotov Terhadap Tank2 Rusia Oleh Warga Kiev,Salah [False Context]
 Link Program Kuota Belajar Kemendikbud,Salah [Fabricated Content]
 Jokowi dan Sejumlah Menteri Berkumpul Tanpa Menggunakan Masker,Salah [Misleading Content]
 Video “Live TV Ukraina yang diduga merekam orang mati di TV yang terbunuh selama invasi”,Salah [False Context]
"Keliru, Jurnalis CNN Bernie Gornes Meninggal Dua Kali, di Afghanistan dan Ukraina",Salah [-]
: Alfamart Beri Hadiah 100 Kemasan Minyak Goreng 1kg di Ultah yang ke-22,Salah [Fabricated Content]
" Video “Sepasang suami istri terpidana mati di Bali beragama hindu, ketika diadili didandani layaknya umat islam”",Salah [Misleading Content]
 Video “Bikhu Tertua asal Vietnam 399th”,Salah [False Context]
 “Innalillahi Wainna Ilaihirojiun Tepat Hari Ini 1 Maret 2022 Ariel Noah Meninggal Dunia Setelah Mengalami Kecelakaan Maut”,Salah [Misleading Content]
 Video “ANAK VESPA UKRAINABANTU TENTARA PENERJUN RUSIAYANG PARASUT NYA NYANGKUT”,Salah [False Context]
 Video Ledakan “Ukraina vs Rusia”,Salah [False Context]
"Keliru, Rekaman Video Amatir Pertempuran Ukraina Melawan Rusia",Salah [-]
"Keliru, Video Berjudul Akibat Peran Indonesia Akhirnya Rusia Dan Ukraina Damai",Salah [-]
 Sutradara Asal Ukraina Membuat Video Warga Berlarian untuk Menunjukkan Rusia Menargetkan Warga Sipil,Salah [False Context]
 Pesawat Kargo China Yang Mendarat di Bandara Soetta Tanpa Izin Ternyata Menyebarkan Chemtrail,Salah [Misleading Content]
 Video Gambaran Serangan Rusia ke Ukraina,Salah [False Context]
 Video Ledakan Invasi Rusia ke Ukraina pada Tahun 2022,Salah [False Context]
 Seekor Ayam Memiliki Penis Mirip Seperti Penis Manusia,Salah [False Connection]
 Pesan Undangan Psikotes PT Astra,Salah [Fabricated Content]
 Ilmuwan Jerman Mengumumkan bahwa Berkumur dengan Air Garam dapat Menghilangkan Virus Covid-19,Salah [Misleading Content]
